failure_event_id,asset_id,pm_event_id_context,failure_date,ticket_open_date,ticket_close_date,failure_category,severity,priority,description,downtime_hours,labor_hours,labor_cost,material_cost,other_costs,total_cost,root_cause,region,environment_type,model
FAIL_001782,GEN_0383,PM_003796,2025-08-01,2025-08-01,2025-08-01,Battery,Medium,Normal,Battery issue observed after PM cycle,9.28,3.42,282.0,901.47,211.67,1113.14,Wear and tear,East,Cold,CUM-500
FAIL_001783,GEN_0383,PM_003798,2025-12-26,2025-12-26,2025-12-26,Oil,Low,Normal,Oil issue observed after PM cycle,3.72,3.25,214.92,889.85,87.43,977.28,Heat stress,East,Cold,CUM-500
FAIL_001784,GEN_0384,PM_003799,2023-04-12,2023-04-12,2023-04-12,Oil,Low,Normal,Oil issue observed after PM cycle,5.49,1.0,104.95,1216.09,188.77,1404.86,Heat stress,Central,Cold,CUM-500
FAIL_001785,GEN_0384,PM_003801,2023-10-01,2023-10-01,2023-10-01,Fuel,Low,Normal,Fuel issue observed after PM cycle,3.64,2.76,223.98,1079.33,218.04,1297.37,Overdue maintenance,Central,Cold,CUM-500
FAIL_001786,GEN_0384,PM_003801,2023-10-10,2023-10-10,2023-10-10,Battery,Medium,Normal,Battery issue observed after PM cycle,7.24,3.98,305.98,649.82,159.49,809.31,Fuel contamination,Central,Cold,CUM-500
FAIL_001787,GEN_0384,PM_003801,2023-10-30,2023-10-30,2023-10-30,Starter,Medium,Normal,Starter issue observed after PM cycle,7.8,4.12,364.69,1247.52,213.29,1460.81,Fuel contamination,Central,Cold,CUM-500
FAIL_001788,GEN_0384,PM_003802,2023-12-28,2023-12-28,2023-12-28,Battery,High,High,Battery issue observed after PM cycle,9.45,4.85,490.32,971.95,170.56,1142.51,Fuel contamination,Central,Cold,CUM-500
FAIL_001789,GEN_0384,PM_003804,2024-06-08,2024-06-08,2024-06-08,Oil,Low,Normal,Oil issue observed after PM cycle,7.15,3.79,394.45,1062.21,181.9,1244.11,Heat stress,Central,Cold,CUM-500
FAIL_001790,GEN_0384,PM_003805,2024-10-07,2024-10-07,2024-10-07,Cooling,High,High,Cooling issue observed after PM cycle,10.66,6.04,627.14,1445.64,222.4,1668.04,Overdue maintenance,Central,Cold,CUM-500
FAIL_001791,GEN_0384,PM_003808,2025-08-09,2025-08-09,2025-08-09,Battery,Medium,Normal,Battery issue observed after PM cycle,6.06,2.5,236.02,1332.82,208.73,1541.55,Wear and tear,Central,Cold,CUM-500
FAIL_001792,GEN_0385,PM_003811,2023-02-06,2023-02-06,2023-02-06,Fuel,Low,Normal,Fuel issue observed after PM cycle,10.03,4.11,389.5,687.86,96.66,784.52,Wear and tear,North,Cold,GENX-550
FAIL_001793,GEN_0385,PM_003814,2024-01-17,2024-01-17,2024-01-17,Alternator,Low,Normal,Alternator issue observed after PM cycle,6.6,4.18,291.67,969.14,186.8,1155.94,Wear and tear,North,Cold,GENX-550
FAIL_001794,GEN_0385,PM_003818,2024-12-28,2024-12-28,2024-12-28,Starter,Medium,Normal,Starter issue observed after PM cycle,5.15,3.7,279.66,637.07,187.17,824.24,Wear and tear,North,Cold,GENX-550
FAIL_001795,GEN_0385,PM_003819,2025-03-23,2025-03-23,2025-03-23,Fuel,Medium,Normal,Fuel issue observed after PM cycle,5.01,3.87,414.56,783.17,207.11,990.28,Wear and tear,North,Cold,GENX-550
FAIL_001796,GEN_0385,PM_003819,2025-04-07,2025-04-07,2025-04-07,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,5.53,3.59,394.0,555.44,242.6,798.04,Overdue maintenance,North,Cold,GENX-550
FAIL_001797,GEN_0386,PM_003825,2023-10-06,2023-10-06,2023-10-06,Starter,Medium,Normal,Starter issue observed after PM cycle,4.72,2.44,192.73,480.52,205.68,686.2,Electrical instability,Central,Urban,CAT-450
FAIL_001798,GEN_0386,PM_003827,2024-03-31,2024-03-31,2024-03-31,Cooling,Low,Normal,Cooling issue observed after PM cycle,6.73,2.95,218.26,567.4,172.1,739.5,Wear and tear,Central,Urban,CAT-450
FAIL_001799,GEN_0386,PM_003828,2024-06-26,2024-06-26,2024-06-26,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,5.11,2.9,279.2,670.4,125.78,796.18,Electrical instability,Central,Urban,CAT-450
FAIL_001800,GEN_0386,PM_003829,2024-10-22,2024-10-22,2024-10-22,Oil,Medium,Normal,Oil issue observed after PM cycle,11.37,4.91,367.31,1070.08,92.8,1162.88,Wear and tear,Central,Urban,CAT-450
FAIL_001801,GEN_0387,PM_003840,2025-01-03,2025-01-03,2025-01-03,Cooling,Low,Normal,Cooling issue observed after PM cycle,4.44,3.9,396.46,569.05,157.61,726.66,Fuel contamination,North,Coastal,MTU-480
FAIL_001802,GEN_0388,PM_003849,2025-01-05,2025-01-05,2025-01-05,Oil,High,High,Oil issue observed after PM cycle,10.4,5.25,454.49,1508.84,237.75,1746.59,Corrosion,West,Urban,GENX-550
FAIL_001803,GEN_0388,PM_003850,2025-04-13,2025-04-13,2025-04-13,Fuel,High,High,Fuel issue observed after PM cycle,9.87,5.87,631.24,1165.94,191.56,1357.5,Overdue maintenance,West,Urban,GENX-550
FAIL_001804,GEN_0388,PM_003850,2025-05-17,2025-05-17,2025-05-17,Battery,High,High,Battery issue observed after PM cycle,6.77,6.9,596.03,2037.89,168.49,2206.38,Heat stress,West,Urban,GENX-550
FAIL_001805,GEN_0388,PM_003850,2025-05-24,2025-05-24,2025-05-24,Battery,Low,Normal,Battery issue observed after PM cycle,4.5,4.66,414.77,815.46,195.62,1011.08,Wear and tear,West,Urban,GENX-550
FAIL_001806,GEN_0389,PM_003853,2023-04-18,2023-04-18,2023-04-18,Cooling,Medium,Normal,Cooling issue observed after PM cycle,8.05,2.23,213.82,1334.51,167.2,1501.71,Overdue maintenance,North,Rural,CUM-500
FAIL_001807,GEN_0389,PM_003855,2023-09-25,2023-09-25,2023-09-25,Cooling,Medium,Normal,Cooling issue observed after PM cycle,1.0,1.0,71.89,657.77,125.51,783.28,Wear and tear,North,Rural,CUM-500
FAIL_001808,GEN_0389,PM_003855,2023-10-08,2023-10-08,2023-10-08,Starter,Medium,Normal,Starter issue observed after PM cycle,4.15,4.62,345.5,865.08,236.29,1101.37,Electrical instability,North,Rural,CUM-500
FAIL_001809,GEN_0389,PM_003858,2024-07-21,2024-07-21,2024-07-21,Cooling,Low,Normal,Cooling issue observed after PM cycle,4.86,3.53,231.26,707.61,139.38,846.99,Electrical instability,North,Rural,CUM-500
FAIL_001810,GEN_0389,PM_003858,2024-09-04,2024-09-04,2024-09-04,Cooling,Medium,Normal,Cooling issue observed after PM cycle,8.37,4.7,502.48,877.0,230.08,1107.08,Corrosion,North,Rural,CUM-500
FAIL_001811,GEN_0389,PM_003860,2025-04-09,2025-04-09,2025-04-09,Oil,High,High,Oil issue observed after PM cycle,13.01,6.55,593.78,1969.71,147.71,2117.42,Wear and tear,North,Rural,CUM-500
FAIL_001812,GEN_0390,PM_003867,2023-12-24,2023-12-24,2023-12-24,Oil,High,High,Oil issue observed after PM cycle,11.1,5.44,563.97,1297.92,172.69,1470.61,Heat stress,West,Cold,KOH-400
FAIL_001813,GEN_0390,PM_003869,2024-06-12,2024-06-12,2024-06-12,Fuel,Critical,High,Fuel issue observed after PM cycle,8.68,4.79,440.78,1540.08,163.97,1704.05,Wear and tear,West,Cold,KOH-400
FAIL_001814,GEN_0390,PM_003870,2024-10-09,2024-10-09,2024-10-09,Alternator,Low,Normal,Alternator issue observed after PM cycle,5.13,4.0,390.52,836.91,139.2,976.11,Fuel contamination,West,Cold,KOH-400
FAIL_001815,GEN_0390,PM_003873,2025-06-17,2025-06-17,2025-06-17,Starter,Medium,Normal,Starter issue observed after PM cycle,6.68,2.44,233.77,823.48,176.98,1000.46,Heat stress,West,Cold,KOH-400
FAIL_001816,GEN_0390,PM_003873,2025-07-11,2025-07-11,2025-07-11,Oil,Critical,High,Oil issue observed after PM cycle,8.85,6.6,710.56,1303.48,267.37,1570.85,Heat stress,West,Cold,KOH-400
FAIL_001817,GEN_0390,PM_003874,2025-08-31,2025-08-31,2025-08-31,Oil,Low,Normal,Oil issue observed after PM cycle,3.49,1.74,128.93,635.54,212.91,848.45,Wear and tear,West,Cold,KOH-400
FAIL_001818,GEN_0391,PM_003879,2024-01-24,2024-01-24,2024-01-24,Cooling,Critical,High,Cooling issue observed after PM cycle,12.14,6.25,672.09,1550.05,170.22,1720.27,Overdue maintenance,South,Coastal,CAT-450
FAIL_001819,GEN_0391,PM_003880,2024-05-01,2024-05-01,2024-05-01,Battery,Low,Normal,Battery issue observed after PM cycle,6.97,5.45,501.05,862.79,80.0,942.79,Wear and tear,South,Coastal,CAT-450
FAIL_001820,GEN_0391,PM_003880,2024-05-09,2024-05-09,2024-05-09,Starter,High,High,Starter issue observed after PM cycle,9.86,6.44,475.27,1243.43,191.31,1434.74,Overdue maintenance,South,Coastal,CAT-450
FAIL_001821,GEN_0391,PM_003882,2024-12-09,2024-12-09,2024-12-09,Battery,High,High,Battery issue observed after PM cycle,8.36,4.03,372.43,1166.97,143.88,1310.85,Electrical instability,South,Coastal,CAT-450
FAIL_001822,GEN_0391,PM_003883,2025-03-22,2025-03-22,2025-03-22,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,3.25,4.26,290.22,669.89,178.6,848.49,Wear and tear,South,Coastal,CAT-450
FAIL_001823,GEN_0392,PM_003891,2024-12-07,2024-12-07,2024-12-07,Starter,Medium,Normal,Starter issue observed after PM cycle,5.08,2.62,176.69,948.12,216.96,1165.08,Overdue maintenance,North,Hot-Dry,CAT-450
FAIL_001824,GEN_0392,PM_003892,2025-02-16,2025-02-16,2025-02-16,Fuel,Medium,Normal,Fuel issue observed after PM cycle,2.76,4.13,380.14,682.21,181.46,863.67,Wear and tear,North,Hot-Dry,CAT-450
FAIL_001825,GEN_0392,PM_003893,2025-08-23,2025-08-23,2025-08-23,Oil,High,High,Oil issue observed after PM cycle,7.16,5.46,550.53,1852.06,237.42,2089.48,Wear and tear,North,Hot-Dry,CAT-450
FAIL_001826,GEN_0393,PM_003895,2023-07-17,2023-07-17,2023-07-17,Cooling,Medium,Normal,Cooling issue observed after PM cycle,12.6,3.16,269.9,1867.83,178.27,2046.1,Wear and tear,South,Urban,MTU-480
FAIL_001827,GEN_0394,PM_003907,2025-01-30,2025-01-30,2025-01-30,Battery,Low,Normal,Battery issue observed after PM cycle,4.6,1.52,99.37,1004.86,206.27,1211.13,Overdue maintenance,Central,Cold,CUM-500
FAIL_001828,GEN_0394,PM_003907,2025-04-02,2025-04-02,2025-04-02,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.11,5.4,388.75,1525.66,171.51,1697.17,Overdue maintenance,Central,Cold,CUM-500
FAIL_001829,GEN_0395,PM_003911,2023-01-31,2023-01-31,2023-01-31,Cooling,Low,Normal,Cooling issue observed after PM cycle,5.42,1.46,128.33,733.49,198.61,932.1,Fuel contamination,South,Hot-Dry,CAT-450
FAIL_001830,GEN_0395,PM_003915,2024-02-29,2024-02-29,2024-02-29,Alternator,Low,Normal,Alternator issue observed after PM cycle,3.16,2.02,221.66,855.11,175.74,1030.85,Wear and tear,South,Hot-Dry,CAT-450
FAIL_001831,GEN_0395,PM_003916,2024-07-15,2024-07-15,2024-07-15,Fuel,Medium,Normal,Fuel issue observed after PM cycle,1.43,1.39,142.55,1114.5,140.25,1254.75,Corrosion,South,Hot-Dry,CAT-450
FAIL_001832,GEN_0395,PM_003919,2025-04-12,2025-04-12,2025-04-12,Oil,Medium,Normal,Oil issue observed after PM cycle,6.26,5.52,607.04,595.93,259.67,855.6,Overdue maintenance,South,Hot-Dry,CAT-450
FAIL_001833,GEN_0395,PM_003919,2025-04-24,2025-04-24,2025-04-24,Battery,Medium,Normal,Battery issue observed after PM cycle,10.29,1.47,118.38,1035.92,172.01,1207.93,Overdue maintenance,South,Hot-Dry,CAT-450
FAIL_001834,GEN_0395,PM_003919,2025-04-25,2025-04-25,2025-04-25,Starter,High,High,Starter issue observed after PM cycle,8.84,7.24,510.27,1508.39,80.0,1588.39,Corrosion,South,Hot-Dry,CAT-450
FAIL_001835,GEN_0395,PM_003921,2025-10-18,2025-10-18,2025-10-18,Oil,High,High,Oil issue observed after PM cycle,10.1,5.06,508.65,1652.85,257.65,1910.5,Fuel contamination,South,Hot-Dry,CAT-450
FAIL_001836,GEN_0396,PM_003927,2024-09-12,2024-09-12,2024-09-12,Fuel,High,High,Fuel issue observed after PM cycle,8.39,7.58,732.21,1725.3,185.23,1910.53,Heat stress,West,Rural,KOH-400
FAIL_001837,GEN_0396,PM_003929,2025-05-27,2025-05-27,2025-05-27,Cooling,Low,Normal,Cooling issue observed after PM cycle,4.43,4.66,312.46,744.15,213.16,957.31,Heat stress,West,Rural,KOH-400
FAIL_001838,GEN_0396,PM_003930,2025-10-02,2025-10-02,2025-10-02,Fuel,Medium,Normal,Fuel issue observed after PM cycle,5.67,3.04,203.06,727.17,220.63,947.8,Wear and tear,West,Rural,KOH-400
FAIL_001839,GEN_0397,PM_003935,2024-03-20,2024-03-20,2024-03-20,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.74,2.49,218.45,691.25,263.94,955.19,Heat stress,North,Cold,CAT-450
FAIL_001840,GEN_0397,PM_003936,2024-06-17,2024-06-17,2024-06-17,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,7.59,3.01,229.75,836.11,94.52,930.63,Heat stress,North,Cold,CAT-450
FAIL_001841,GEN_0397,PM_003938,2025-02-06,2025-02-06,2025-02-06,Oil,High,High,Oil issue observed after PM cycle,12.53,6.46,479.44,1558.95,146.74,1705.69,Overdue maintenance,North,Cold,CAT-450
FAIL_001842,GEN_0397,PM_003939,2025-04-02,2025-04-02,2025-04-02,Fuel,Medium,Normal,Fuel issue observed after PM cycle,5.44,5.45,489.18,515.91,132.01,647.92,Fuel contamination,North,Cold,CAT-450
FAIL_001843,GEN_0397,PM_003940,2025-07-15,2025-07-15,2025-07-15,Control Panel,High,High,Control Panel issue observed after PM cycle,8.48,3.52,358.75,1291.76,213.64,1505.4,Electrical instability,North,Cold,CAT-450
FAIL_001844,GEN_0398,PM_003948,2025-01-04,2025-01-04,2025-01-04,Starter,Medium,Normal,Starter issue observed after PM cycle,3.68,1.79,188.02,730.86,158.11,888.97,Overdue maintenance,Central,Rural,CAT-450
FAIL_001845,GEN_0399,PM_003957,2024-12-22,2024-12-22,2024-12-22,Fuel,Critical,High,Fuel issue observed after PM cycle,6.91,5.61,459.75,1804.23,246.77,2051.0,Wear and tear,South,Urban,GENX-550
FAIL_001846,GEN_0399,PM_003958,2025-04-07,2025-04-07,2025-04-07,Alternator,Low,Normal,Alternator issue observed after PM cycle,7.6,4.72,382.23,623.82,191.68,815.5,Overdue maintenance,South,Urban,GENX-550
FAIL_001847,GEN_0399,PM_003960,2025-12-25,2025-12-25,2025-12-25,Oil,Low,Normal,Oil issue observed after PM cycle,4.32,3.96,354.44,1110.97,179.21,1290.18,Electrical instability,South,Urban,GENX-550
FAIL_001848,GEN_0400,PM_003967,2024-07-14,2024-07-14,2024-07-14,Cooling,Medium,Normal,Cooling issue observed after PM cycle,7.47,4.44,421.63,217.17,114.98,332.15,Overdue maintenance,West,Cold,CUM-500
FAIL_001849,GEN_0400,PM_003967,2024-09-07,2024-09-07,2024-09-07,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,4.31,2.04,183.6,920.38,235.1,1155.48,Corrosion,West,Cold,CUM-500
FAIL_001850,GEN_0400,PM_003971,2025-07-15,2025-07-15,2025-07-15,Battery,Low,Normal,Battery issue observed after PM cycle,2.84,4.8,514.71,465.99,147.66,613.65,Heat stress,West,Cold,CUM-500
FAIL_001851,GEN_0401,PM_003973,2023-02-26,2023-02-26,2023-02-26,Battery,Medium,Normal,Battery issue observed after PM cycle,2.29,2.03,208.69,474.36,215.84,690.2,Wear and tear,West,Coastal,GENX-550
FAIL_001852,GEN_0401,PM_003974,2023-08-11,2023-08-11,2023-08-11,Battery,Medium,Normal,Battery issue observed after PM cycle,1.0,3.64,297.6,829.83,176.21,1006.04,Wear and tear,West,Coastal,GENX-550
FAIL_001853,GEN_0401,PM_003977,2024-08-04,2024-08-04,2024-08-04,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,6.07,3.03,282.76,568.79,179.23,748.02,Wear and tear,West,Coastal,GENX-550
FAIL_001854,GEN_0401,PM_003977,2024-08-15,2024-08-15,2024-08-15,Cooling,Low,Normal,Cooling issue observed after PM cycle,4.67,1.25,114.62,799.86,103.23,903.09,Electrical instability,West,Coastal,GENX-550
FAIL_001855,GEN_0401,PM_003980,2025-10-10,2025-10-10,2025-10-10,Cooling,High,High,Cooling issue observed after PM cycle,9.0,6.44,420.63,2198.66,148.36,2347.02,Wear and tear,West,Coastal,GENX-550
FAIL_001856,GEN_0401,PM_003980,2025-10-16,2025-10-16,2025-10-16,Oil,Low,Normal,Oil issue observed after PM cycle,8.59,2.61,270.92,834.58,203.97,1038.55,Fuel contamination,West,Coastal,GENX-550
FAIL_001857,GEN_0401,PM_003981,2025-12-11,2025-12-11,2025-12-11,Control Panel,High,High,Control Panel issue observed after PM cycle,8.16,3.63,250.86,1343.48,163.47,1506.95,Heat stress,West,Coastal,GENX-550
FAIL_001858,GEN_0402,PM_003984,2024-06-06,2024-06-06,2024-06-06,Starter,Low,Normal,Starter issue observed after PM cycle,7.56,3.09,272.33,665.02,89.95,754.97,Electrical instability,Central,Hot-Dry,MTU-480
FAIL_001859,GEN_0402,PM_003987,2025-12-08,2025-12-08,2025-12-08,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,3.81,3.19,323.28,594.49,247.89,842.38,Overdue maintenance,Central,Hot-Dry,MTU-480
FAIL_001860,GEN_0403,PM_003988,2023-05-10,2023-05-10,2023-05-10,Starter,High,High,Starter issue observed after PM cycle,11.04,7.21,750.65,1817.46,216.05,2033.51,Electrical instability,North,Coastal,KOH-400
FAIL_001861,GEN_0403,PM_003994,2024-09-17,2024-09-17,2024-09-17,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,11.36,4.74,452.6,701.62,262.95,964.57,Wear and tear,North,Coastal,KOH-400
FAIL_001862,GEN_0404,PM_004000,2023-06-22,2023-06-22,2023-06-22,Fuel,Medium,Normal,Fuel issue observed after PM cycle,5.7,3.05,294.6,1232.04,131.0,1363.04,Overdue maintenance,South,Urban,GENX-550
FAIL_001863,GEN_0404,PM_004002,2023-12-20,2023-12-20,2023-12-20,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.69,3.78,360.57,667.59,161.03,828.62,Overdue maintenance,South,Urban,GENX-550
FAIL_001864,GEN_0404,PM_004006,2025-01-10,2025-01-10,2025-01-10,Starter,Low,Normal,Starter issue observed after PM cycle,5.83,4.22,275.6,1046.57,239.93,1286.5,Fuel contamination,South,Urban,GENX-550
FAIL_001865,GEN_0405,PM_004011,2023-06-30,2023-06-30,2023-06-30,Cooling,High,High,Cooling issue observed after PM cycle,12.79,4.55,362.24,1914.4,143.18,2057.58,Wear and tear,Central,Rural,GENX-550
FAIL_001866,GEN_0405,PM_004012,2023-09-05,2023-09-05,2023-09-05,Alternator,Medium,Normal,Alternator issue observed after PM cycle,7.71,2.46,192.44,583.02,198.1,781.12,Fuel contamination,Central,Rural,GENX-550
FAIL_001867,GEN_0405,PM_004015,2024-09-27,2024-09-27,2024-09-27,Oil,Medium,Normal,Oil issue observed after PM cycle,4.77,6.4,597.1,861.78,160.97,1022.75,Overdue maintenance,Central,Rural,GENX-550
FAIL_001868,GEN_0405,PM_004016,2025-02-02,2025-02-02,2025-02-02,Starter,Low,Normal,Starter issue observed after PM cycle,9.38,3.23,244.39,795.87,195.77,991.64,Wear and tear,Central,Rural,GENX-550
FAIL_001869,GEN_0406,PM_004021,2023-08-15,2023-08-15,2023-08-15,Oil,Critical,High,Oil issue observed after PM cycle,10.4,5.2,400.07,1912.59,194.22,2106.81,Wear and tear,North,Rural,CAT-450
FAIL_001870,GEN_0406,PM_004026,2025-04-05,2025-04-05,2025-04-05,Fuel,Low,Normal,Fuel issue observed after PM cycle,4.73,2.65,227.59,1127.23,158.58,1285.81,Electrical instability,North,Rural,CAT-450
FAIL_001871,GEN_0407,PM_004030,2023-06-30,2023-06-30,2023-06-30,Fuel,Medium,Normal,Fuel issue observed after PM cycle,2.48,4.13,418.93,380.17,215.72,595.89,Overdue maintenance,South,Coastal,GENX-550
FAIL_001872,GEN_0407,PM_004033,2024-05-01,2024-05-01,2024-05-01,Battery,Medium,Normal,Battery issue observed after PM cycle,9.32,2.85,202.19,833.1,204.62,1037.72,Wear and tear,South,Coastal,GENX-550
FAIL_001873,GEN_0407,PM_004034,2024-09-01,2024-09-01,2024-09-01,Alternator,Low,Normal,Alternator issue observed after PM cycle,6.56,4.56,352.54,742.77,254.87,997.64,Wear and tear,South,Coastal,GENX-550
FAIL_001874,GEN_0408,PM_004042,2023-12-11,2023-12-11,2023-12-11,Starter,High,High,Starter issue observed after PM cycle,8.08,3.24,274.93,1194.02,235.81,1429.83,Heat stress,West,Cold,CUM-500
FAIL_001875,GEN_0409,PM_004057,2025-06-11,2025-06-11,2025-06-11,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.01,2.42,210.0,924.97,173.88,1098.85,Corrosion,East,Rural,CAT-450
FAIL_001876,GEN_0409,PM_004058,2025-08-17,2025-08-17,2025-08-17,Cooling,Critical,High,Cooling issue observed after PM cycle,10.89,4.04,273.1,1641.53,163.71,1805.24,Overdue maintenance,East,Rural,CAT-450
FAIL_001877,GEN_0410,PM_004061,2023-06-26,2023-06-26,2023-06-26,Battery,Critical,High,Battery issue observed after PM cycle,6.46,4.4,449.73,1380.32,168.97,1549.29,Heat stress,West,Rural,CUM-500
FAIL_001878,GEN_0410,PM_004061,2023-07-25,2023-07-25,2023-07-25,Alternator,High,High,Alternator issue observed after PM cycle,10.88,6.5,624.85,1268.09,182.0,1450.09,Wear and tear,West,Rural,CUM-500
FAIL_001879,GEN_0410,PM_004063,2024-01-02,2024-01-02,2024-01-02,Oil,Medium,Normal,Oil issue observed after PM cycle,1.91,3.74,318.8,874.99,237.89,1112.88,Fuel contamination,West,Rural,CUM-500
FAIL_001880,GEN_0410,PM_004063,2024-01-23,2024-01-23,2024-01-23,Cooling,High,High,Cooling issue observed after PM cycle,12.05,7.13,640.38,1573.4,192.68,1766.08,Heat stress,West,Rural,CUM-500
FAIL_001881,GEN_0410,PM_004063,2024-01-25,2024-01-25,2024-01-25,Starter,Low,Normal,Starter issue observed after PM cycle,8.19,3.39,331.68,739.63,90.29,829.92,Wear and tear,West,Rural,CUM-500
FAIL_001882,GEN_0410,PM_004067,2025-02-15,2025-02-15,2025-02-15,Oil,Medium,Normal,Oil issue observed after PM cycle,3.99,3.26,298.4,872.56,148.55,1021.11,Overdue maintenance,West,Rural,CUM-500
FAIL_001883,GEN_0411,PM_004071,2023-05-18,2023-05-18,2023-05-18,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,11.78,2.61,229.46,1232.91,158.39,1391.3,Fuel contamination,East,Urban,KOH-400
FAIL_001884,GEN_0411,PM_004073,2023-10-21,2023-10-21,2023-10-21,Starter,Medium,Normal,Starter issue observed after PM cycle,2.99,3.55,331.79,332.19,206.44,538.63,Wear and tear,East,Urban,KOH-400
FAIL_001885,GEN_0411,PM_004075,2024-06-03,2024-06-03,2024-06-03,Cooling,Medium,Normal,Cooling issue observed after PM cycle,6.36,5.53,367.05,1282.4,171.71,1454.11,Fuel contamination,East,Urban,KOH-400
FAIL_001886,GEN_0411,PM_004077,2024-09-21,2024-09-21,2024-09-21,Battery,Medium,Normal,Battery issue observed after PM cycle,5.65,5.77,376.55,683.09,186.85,869.94,Wear and tear,East,Urban,KOH-400
FAIL_001887,GEN_0411,PM_004077,2024-09-25,2024-09-25,2024-09-25,Cooling,Low,Normal,Cooling issue observed after PM cycle,9.63,5.65,615.79,120.0,181.8,301.8,Wear and tear,East,Urban,KOH-400
FAIL_001888,GEN_0411,PM_004079,2025-05-06,2025-05-06,2025-05-06,Battery,Medium,Normal,Battery issue observed after PM cycle,6.93,3.73,278.11,861.47,186.73,1048.2,Electrical instability,East,Urban,KOH-400
FAIL_001889,GEN_0412,PM_004084,2024-02-19,2024-02-19,2024-02-19,Battery,Low,Normal,Battery issue observed after PM cycle,1.82,2.5,167.99,921.1,157.59,1078.69,Heat stress,North,Rural,MTU-480
FAIL_001890,GEN_0412,PM_004086,2025-04-11,2025-04-11,2025-04-11,Fuel,High,High,Fuel issue observed after PM cycle,3.45,6.79,706.52,1548.22,147.5,1695.72,Corrosion,North,Rural,MTU-480
FAIL_001891,GEN_0413,PM_004088,2023-05-05,2023-05-05,2023-05-05,Cooling,Medium,Normal,Cooling issue observed after PM cycle,2.87,5.56,500.75,1225.49,168.34,1393.83,Fuel contamination,North,Rural,KOH-400
FAIL_001892,GEN_0413,PM_004088,2023-06-02,2023-06-02,2023-06-02,Oil,Medium,Normal,Oil issue observed after PM cycle,8.32,3.9,395.12,929.19,201.03,1130.22,Wear and tear,North,Rural,KOH-400
FAIL_001893,GEN_0413,PM_004088,2023-08-13,2023-08-13,2023-08-13,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.77,5.59,447.84,2008.0,100.23,2108.23,Overdue maintenance,North,Rural,KOH-400
FAIL_001894,GEN_0413,PM_004089,2023-12-29,2023-12-29,2023-12-29,Battery,Low,Normal,Battery issue observed after PM cycle,14.75,3.55,356.99,1823.94,198.72,2022.66,Fuel contamination,North,Rural,KOH-400
FAIL_001895,GEN_0413,PM_004092,2025-06-28,2025-06-28,2025-06-28,Fuel,Low,Normal,Fuel issue observed after PM cycle,7.98,4.3,296.35,1180.08,161.64,1341.72,Overdue maintenance,North,Rural,KOH-400
FAIL_001896,GEN_0413,PM_004093,2025-11-14,2025-11-14,2025-11-14,Cooling,Low,Normal,Cooling issue observed after PM cycle,6.62,5.09,531.56,1105.1,174.23,1279.33,Overdue maintenance,North,Rural,KOH-400
FAIL_001897,GEN_0413,PM_004093,2025-11-25,2025-11-25,2025-11-25,Alternator,Low,Normal,Alternator issue observed after PM cycle,7.33,3.52,314.83,1292.1,176.56,1468.66,Wear and tear,North,Rural,KOH-400
FAIL_001898,GEN_0414,PM_004096,2024-02-03,2024-02-03,2024-02-03,Cooling,Medium,Normal,Cooling issue observed after PM cycle,1.61,4.08,379.67,555.05,204.95,760.0,Fuel contamination,Central,Urban,KOH-400
FAIL_001899,GEN_0414,PM_004096,2024-02-19,2024-02-19,2024-02-19,Starter,Medium,Normal,Starter issue observed after PM cycle,5.26,4.37,392.22,1250.13,293.89,1544.02,Fuel contamination,Central,Urban,KOH-400
FAIL_001900,GEN_0414,PM_004097,2024-06-02,2024-06-02,2024-06-02,Battery,High,High,Battery issue observed after PM cycle,10.34,5.85,535.79,1703.09,197.31,1900.4,Overdue maintenance,Central,Urban,KOH-400
FAIL_001901,GEN_0414,PM_004098,2024-10-12,2024-10-12,2024-10-12,Cooling,Medium,Normal,Cooling issue observed after PM cycle,2.94,2.44,223.13,626.9,151.53,778.43,Corrosion,Central,Urban,KOH-400
FAIL_001902,GEN_0414,PM_004098,2024-10-18,2024-10-18,2024-10-18,Oil,Critical,High,Oil issue observed after PM cycle,3.09,5.82,532.14,1914.17,203.2,2117.37,Electrical instability,Central,Urban,KOH-400
FAIL_001903,GEN_0415,PM_004102,2023-03-24,2023-03-24,2023-03-24,Oil,Medium,Normal,Oil issue observed after PM cycle,6.14,4.2,437.14,1617.33,155.29,1772.62,Electrical instability,Central,Urban,KOH-400
